slurp_id,file_id,scenario
9024,audio-1501407267-headset.flac,calendar
9024,audio-1501771798-headset.flac,calendar
9024,audio-1490705711-headset.flac,calendar
9024,audio-1494416970-headset.flac,calendar
7874,audio-1490262086-headset.flac,calendar
7874,audio-1498485578-headset.flac,calendar
7874,audio-1490367540-headset.flac,calendar
5822,audio-1490183568-headset.flac,audio
5822,audio--1504191186-headset.flac,audio
5822,audio--1506079649-headset.flac,audio
5013,audio-1490019123-headset.flac,iot
5148,audio-1497872350-headset.flac,audio
5148,audio-1501753732-headset.flac,audio
5148,audio--1504192961-headset.flac,audio
5148,audio-1434541462-headset.flac,audio
11236,audio-1490203633-headset.flac,lists
11236,audio-1502896614-headset.flac,lists
16742,audio-1498570131-headset.flac,email
5172,audio-1497886326-headset.flac,alarm
5172,audio--1504192391-headset.flac,alarm
5172,audio--1505407024-headset.flac,alarm
5172,audio--1505407227-headset.flac,alarm
5172,audio-1490367828-headset.flac,alarm
5891,audio-1490195924-headset.flac,alarm
5891,audio--1504195236-headset.flac,alarm
5891,audio-1501686502-headset.flac,alarm
15135,audio-1502199029-headset.flac,qa
15135,audio-1499089419-headset.flac,qa
6951,audio-1490103994-headset.flac,calendar
6951,audio-1497872202-headset.flac,calendar
6951,audio-1490109486-headset.flac,calendar
6951,audio-1490357221-headset.flac,calendar
5311,audio-1490194280-headset.flac,play
5311,audio-1490264394-headset.flac,play
11917,audio-1498563809-headset.flac,recommendation
11917,audio-1501688214-headset.flac,recommendation
11917,audio-1501768269-headset.flac,recommendation
701,audio-1490261715-headset.flac,weather
701,audio-1495369284-headset.flac,weather
14842,audio-1502890627-headset.flac,qa
7619,audio-1500387231-headset.flac,calendar
4200,audio-1498569479-headset.flac,alarm
4200,audio--1504192683-headset.flac,alarm
11461,audio-1502890200-headset.flac,play
11461,audio-1502377748-headset.flac,play
7790,audio-1492779894-headset.flac,calendar
15204,audio-1490800766-headset.flac,social
15204,audio-1497860824-headset.flac,social
15204,audio-1497885641-headset.flac,social
15204,audio-1497436983-headset.flac,social
5542,audio--1504198306-headset.flac,alarm
5542,audio-1434530127-headset.flac,alarm
5542,audio-1490955446-headset.flac,alarm
5542,audio-1501158369-headset.flac,alarm
16235,audio--1504190183-headset.flac,email
6003,audio-1497030361-headset.flac,weather
4952,audio-1497438842-headset.flac,news
4952,audio-1501697900-headset.flac,news
7963,audio-1501757184-headset.flac,calendar
7963,audio-1502302470-headset.flac,calendar
7963,audio-1498485392-headset.flac,calendar
7963,audio-1502892168-headset.flac,calendar
7963,audio--1505404181-headset.flac,calendar
7963,audio-1499089482-headset.flac,calendar
7963,audio-1494512327-headset.flac,calendar
4649,audio-1498571474-headset.flac,music
13745,audio-1492780704-headset.flac,general
1670,audio-1502197319-headset.flac,news
3249,audio--1504195064-headset.flac,alarm
7452,audio-1501758737-headset.flac,calendar
7452,audio-1434530996-headset.flac,calendar
7452,audio-1434539396-headset.flac,calendar
7452,audio-1495369449-headset.flac,calendar
6114,audio-1498564961-headset.flac,takeaway
6114,audio-1498570872-headset.flac,takeaway
6114,audio-1502896239-headset.flac,takeaway
6114,audio-1502890215-headset.flac,takeaway
15817,audio-1501687350-headset.flac,email
15817,audio-1502890246-headset.flac,email
9666,audio-1490262729-headset.flac,play
9666,audio-1502896769-headset.flac,play
9666,audio--1504190963-headset.flac,play
9666,audio--1504191054-headset.flac,play
9666,audio--1504191166-headset.flac,play
9666,audio--1504191576-headset.flac,play
9666,audio--1504192470-headset.flac,play
9666,audio--1504192771-headset.flac,play
9666,audio--1504193378-headset.flac,play
9666,audio--1504194896-headset.flac,play
9666,audio--1504195217-headset.flac,play
9666,audio--1504195228-headset.flac,play
9666,audio--1504197908-headset.flac,play
9666,audio--1504198133-headset.flac,play
9666,audio--1505405267-headset.flac,play
9666,audio--1505405484-headset.flac,play
9666,audio--1505406783-headset.flac,play
9666,audio-1490705935-headset.flac,play
9666,audio-1499693483-headset.flac,play
9666,audio-1502376000-headset.flac,play
9666,audio-1502376212-headset.flac,play
9666,audio-1490367652-headset.flac,play
9666,audio--1506078181-headset.flac,play
9666,audio--1506079467-headset.flac,play
9666,audio--1506079781-headset.flac,play
9666,audio-1492780311-headset.flac,play
9666,audio-1492783740-headset.flac,play
9666,audio-1494548835-headset.flac,play
9666,audio-1496266089-headset.flac,play
83,audio-1490182114-headset.flac,iot
83,audio-1497865017-headset.flac,iot
83,audio-1502198033-headset.flac,iot
83,audio-1494418296-headset.flac,iot
6197,audio-1490288569-headset.flac,general
6197,audio-1497880084-headset.flac,general
6197,audio-1490006844-headset.flac,general
6802,audio-1490182788-headset.flac,calendar
6802,audio-1492784254-headset.flac,calendar
6802,audio-1495371244-headset.flac,calendar
4656,audio-1501408205-headset.flac,alarm
4656,audio--1505404338-headset.flac,alarm
4656,audio-1501155898-headset.flac,alarm
4656,audio-1501698543-headset.flac,alarm
7638,audio-1498565774-headset.flac,calendar
7638,audio-1501689626-headset.flac,calendar
7638,audio-1434538665-headset.flac,calendar
7638,audio-1499267693-headset.flac,calendar
7638,audio-1501698622-headset.flac,calendar
7638,audio-1494548008-headset.flac,calendar
7638,audio-1495732665-headset.flac,calendar
16845,audio-1501768766-headset.flac,email
16845,audio-1497883973-headset.flac,email
16845,audio-1501687230-headset.flac,email
13882,audio-1501752593-headset.flac,qa
13882,audio-1490956807-headset.flac,qa
12567,audio-1502200342-headset.flac,transport
12493,audio-1490204616-headset.flac,transport
12493,audio-1434533525-headset.flac,transport
12493,audio-1500388472-headset.flac,transport
6921,audio-1490371685-headset.flac,calendar
6921,audio-1502894347-headset.flac,calendar
15159,audio-1492786129-headset.flac,social
5078,audio-1490704619-headset.flac,weather
16116,audio-1490356745-headset.flac,email
16116,audio-1501687453-headset.flac,email
16116,audio-1434541722-headset.flac,email
16116,audio-1501690394-headset.flac,email
3903,audio-1490354400-headset.flac,alarm
3903,audio--1504194204-headset.flac,alarm
3903,audio-1501150755-headset.flac,alarm
3903,audio-1492779491-headset.flac,alarm
1485,audio-1434535895-headset.flac,alarm
1485,audio-1434539446-headset.flac,alarm
1485,audio-1502311565-headset.flac,alarm
4263,audio-1490372114-headset.flac,general
4263,audio-1502100893-headset.flac,general
11880,audio-1490008505-headset.flac,recommendation
13200,audio-1500980285-headset.flac,qa
13200,audio-1497861300-headset.flac,qa
9079,audio-1501763698-headset.flac,calendar
15481,audio-1497865444-headset.flac,social
8599,audio-1502196087-headset.flac,calendar
8599,audio-1502895056-headset.flac,calendar
8599,audio-1499692044-headset.flac,calendar
8599,audio-1492786058-headset.flac,calendar
12833,audio-1497438977-headset.flac,transport
3476,audio--1504192627-headset.flac,alarm
14478,audio-1434537121-headset.flac,qa
