slurp_id_1,slurp_id_2,file_id,scenario
8365,9108,audio-1501777648-headset.flac+audio-1502114100-headset.flac,calendar
8365,9020,audio-1501777648-headset.flac+audio-1501758752.flac,calendar
8365,6786,audio-1501777648-headset.flac+audio-1497022684.flac,calendar
8365,7337,audio-1501777648-headset.flac+audio-1497437469.flac,calendar
8365,6781,audio-1501777648-headset.flac+audio-1490008965.flac,calendar
8365,7071,audio-1501777648-headset.flac+audio-1499244312.flac,calendar
8365,7387,audio-1501777648-headset.flac+audio-1498571963.flac,calendar
8365,6867,audio-1501777648-headset.flac+audio-1495370682-headset.flac,calendar
8365,8023,audio-1501777648-headset.flac+audio-1494607221-headset.flac,calendar
8365,7909,audio-1501777648-headset.flac+audio-1490367083-headset.flac,calendar
8365,6828,audio-1501777648-headset.flac+audio-1499689307.flac,calendar
8365,8364,audio-1501777648-headset.flac+audio-1490201365.flac,calendar
8365,6470,audio-1501777648-headset.flac+audio-1497268719-headset.flac,calendar
8365,7771,audio-1501777648-headset.flac+audio-1502891041-headset.flac,calendar
8365,7763,audio-1501777648-headset.flac+audio-1490801421.flac,calendar
8365,10665,audio-1501777648-headset.flac+audio-1498565765-headset.flac,calendar
8365,8115,audio-1501777648-headset.flac+audio-1494514399.flac,calendar
8365,7694,audio-1501777648-headset.flac+audio-1490110832.flac,calendar
8365,7584,audio-1501777648-headset.flac+audio-1501774022-headset.flac,calendar
8365,8821,audio-1501777648-headset.flac+audio-1490802429-headset.flac,calendar
8365,8407,audio-1501777648-headset.flac+audio-1502199845.flac,calendar
8365,7538,audio-1501777648-headset.flac+audio-1497268768.flac,calendar
8365,7188,audio-1501777648-headset.flac+audio-1488991760.flac,calendar
8365,6273,audio-1501777648-headset.flac+audio-1498564233-headset.flac,calendar
8365,8647,audio-1501777648-headset.flac+audio-1501690898.flac,calendar
8365,7897,audio-1501777648-headset.flac+audio-1501689789-headset.flac,calendar
8365,7937,audio-1501777648-headset.flac+audio-1501696902.flac,calendar
8365,8214,audio-1501777648-headset.flac+audio-1501688633.flac,calendar
6877,9108,audio-1492784487-headset.flac+audio-1502114100-headset.flac,calendar
6877,9020,audio-1492784487-headset.flac+audio-1501758752.flac,calendar
